cus_id,first_name,last_name,city,country,phone,email
100001,James,Butt,New Orleans,Orleans,504-621-8927,jbutt@gmail.com
100002,Josephine,Darakjy,Brighton,Livingston,810-292-9388,josephine_darakjy@darakjy.org
100003,Art,Venere,Bridgeport,Gloucester,856-636-8749,art@venere.org
100004,Lenna,Paprocki,Anchorage,Anchorage,907-385-4412,lpaprocki@hotmail.com
100005,Donette,Foller,Hamilton,Butler,513-570-1893,donette.foller@cox.net
100006,Simona,Morasca,Ashland,Ashland,419-503-2484,simona@morasca.com
100007,Mitsue,Tollner,Chicago,Cook,773-573-6914,mitsue_tollner@yahoo.com
100008,Leota,Dilliard,San Jose,Santa Clara,408-752-3500,leota@hotmail.com
100009,Sage,Wieser,Sioux Falls,Minnehaha,605-414-2147,sage_wieser@cox.net
100010,Kris,Marrier,Baltimore,Baltimore City,410-655-8723,kris@gmail.com
100011,Minna,Amigon,Kulpsville,Montgomery,215-874-1229,minna_amigon@yahoo.com
100012,Abel,Maclead,Middle Island,Suffolk,631-335-3414,amaclead@gmail.com
100013,Kiley,Caldarera,Los Angeles,Los Angeles,310-498-5651,kiley.caldarera@aol.com
100014,Graciela,Ruta,Chagrin Falls,Geauga,440-780-8425,gruta@cox.net
100015,Cammy,Albares,Laredo,Webb,956-537-6195,calbares@gmail.com
100016,Mattie,Poquette,Phoenix,Maricopa,602-277-4385,mattie@aol.com
100017,Meaghan,Garufi,Mc Minnville,Warren,931-313-9635,meaghan@hotmail.com
100018,Gladys,Rim,Milwaukee,Milwaukee,414-661-9598,gladys.rim@rim.org
100019,Yuki,Whobrey,Taylor,Wayne,313-288-7937,yuki_whobrey@aol.com
100020,Fletcher,Flosi,Rockford,Winnebago,815-828-2147,fletcher.flosi@yahoo.com
100021,Bette,Nicka,Aston,Delaware,610-545-3615,bette_nicka@cox.net
100022,Veronika,Inouye,San Jose,Santa Clara,408-540-1785,vinouye@aol.com
100023,Willard,Kolmetz,Irving,Dallas,972-303-9197,willard@hotmail.com
100024,Maryann,Royster,Albany,Albany,518-966-7987,mroyster@royster.com
100025,Alisha,Slusarski,Middlesex,Middlesex,732-658-3154,alisha@slusarski.com
100026,Allene,Iturbide,Stevens Point,Portage,715-662-6764,allene_iturbide@cox.net
100027,Chanel,Caudy,Shawnee,Johnson,913-388-2079,chanel.caudy@caudy.org
100028,Ezekiel,Chui,Easton,Talbot,410-669-1642,ezekiel@chui.com
100029,Willow,Kusko,New York,New York,212-582-4976,wkusko@yahoo.com
100030,Bernardo,Figeroa,Conroe,Montgomery,936-336-3951,bfigeroa@aol.com
100031,Ammie,Corrio,Columbus,Franklin,614-801-9788,ammie@corrio.com
100032,Francine,Vocelka,Las Cruces,Dona Ana,505-977-3911,francine_vocelka@vocelka.com
100033,Ernie,Stenseth,Ridgefield Park,Bergen,201-709-6245,ernie_stenseth@aol.com
100034,Albina,Glick,Dunellen,Middlesex,732-924-7882,albina@glick.com
100035,Alishia,Sergi,New York,New York,212-860-1579,asergi@gmail.com
100036,Solange,Shinko,Metairie,Jefferson,504-979-9175,solange@shinko.com
100037,Jose,Stockham,New York,New York,212-675-8570,jose@yahoo.com
100038,Rozella,Ostrosky,Camarillo,Ventura,805-832-6163,rozella.ostrosky@ostrosky.com
100039,Valentine,Gillian,San Antonio,Bexar,210-812-9597,valentine_gillian@gmail.com
100040,Kati,Rulapaugh,Abilene,Dickinson,785-463-7829,kati.rulapaugh@hotmail.com
100041,Youlanda,Schemmer,Prineville,Crook,541-548-8197,youlanda@aol.com
100042,Dyan,Oldroyd,Overland Park,Johnson,913-413-4604,doldroyd@aol.com
100043,Roxane,Campain,Fairbanks,Fairbanks North Star,907-231-4722,roxane@hotmail.com
100044,Lavera,Perin,Miami,Miami-Dade,305-606-7291,lperin@perin.org
100045,Erick,Ferencz,Fairbanks,Fairbanks North Star,907-741-1044,erick.ferencz@aol.com
